customer_id,total_orders,avg_order_value,days_since_last_order,app_opens,session_duration,cart_abandons
1,5,110.86,22,85,6.3,6
2,4,149.32,20,62,18.2,5
3,4,175.28,8,97,12.9,2
4,5,52.27,29,38,4.7,9
5,5,164.0,40,15,1.8,2
6,3,119.49,26,52,19.1,1
7,5,91.38,30,79,24.4,5
8,4,43.71,17,46,25.4,3
9,6,175.75,20,25,15.0,4
10,7,48.31,52,21,23.5,2
11,2,75.76,55,88,20.5,5
12,5,72.21,16,5,22.0,2
13,5,176.85,46,70,15.3,7
14,6,141.09,43,47,19.4,8
15,4,163.4,7,87,24.4,3
16,6,65.08,16,68,12.5,8
17,6,132.48,45,91,24.4,6
18,1,122.91,59,18,18.2,2
19,7,169.91,47,21,5.8,6
20,2,183.1,56,92,1.7,0
21,11,22.19,48,99,11.5,2
22,4,141.32,27,86,16.9,5
23,3,29.33,53,23,25.4,3
24,8,118.79,23,64,4.7,6
25,3,71.77,24,67,24.2,2
26,3,75.22,9,40,26.0,0
27,5,83.53,35,10,5.4,8
28,8,131.83,51,89,25.7,5
29,3,80.13,20,52,29.8,7
30,2,151.89,37,72,22.1,2
31,5,92.81,42,75,23.8,7
32,3,32.3,17,61,29.8,1
33,8,161.08,47,64,18.6,3
34,10,71.44,31,5,9.9,2
35,3,97.9,55,53,25.3,9
36,2,143.38,57,55,18.8,0
37,5,79.84,8,37,17.9,6
38,7,30.19,15,56,8.4,9
39,6,87.31,31,59,22.9,1
40,6,190.0,53,93,3.4,3
41,2,135.51,30,69,27.8,8
42,4,140.87,46,73,10.4,5
43,9,133.81,20,59,4.7,7
44,7,55.82,39,2,13.8,1
45,11,95.3,53,65,2.2,6
46,8,155.17,55,60,20.9,5
47,3,38.25,12,51,27.2,8
48,2,70.01,49,30,25.3,6
49,3,69.74,17,11,4.7,0
50,4,97.76,42,92,4.7,7
51,5,196.47,30,76,24.6,9
52,5,32.15,29,39,27.8,2
53,4,113.37,19,90,14.4,1
54,3,52.29,46,77,15.5,2
55,8,194.72,11,72,10.2,5
56,2,40.39,34,63,26.9,2
57,1,92.65,50,64,19.7,9
58,4,152.82,7,61,9.4,4
59,5,146.82,44,54,9.7,5
60,4,96.09,58,92,26.8,7
61,3,82.37,34,94,1.4,6
62,4,91.57,59,73,10.4,7
63,8,67.57,20,95,17.1,2
64,2,56.96,50,58,5.3,3
65,2,106.95,38,85,3.7,5
66,2,68.34,24,56,24.6,6
67,7,71.74,10,34,26.9,8
68,6,138.22,32,31,24.9,0
69,7,194.34,52,52,27.1,7
70,6,128.65,15,89,17.0,7
71,7,33.86,37,76,24.6,5
72,6,33.61,20,1,12.1,3
73,4,191.26,3,55,20.3,2
74,2,73.51,37,22,29.7,2
75,3,36.57,57,40,7.5,5
76,4,127.83,40,1,12.3,7
77,7,132.26,8,65,14.9,6
78,4,136.73,40,63,5.0,0
79,3,68.13,44,54,3.4,5
80,2,22.72,56,42,25.1,6
81,6,193.7,23,21,29.3,6
82,3,65.16,40,79,12.7,8
83,5,141.68,11,81,3.5,9
84,9,147.19,46,22,2.9,4
85,6,129.8,8,38,26.8,0
86,6,76.32,29,99,14.5,1
87,9,68.8,30,80,10.3,3
88,4,127.58,56,8,14.8,4
89,9,175.9,10,62,10.2,8
90,2,190.41,39,47,15.2,0
91,10,39.06,28,17,25.9,2
92,6,47.87,49,17,18.2,4
93,9,190.05,36,90,21.1,2
94,4,152.58,13,13,11.6,3
95,1,178.94,32,17,22.4,2
96,6,56.47,36,38,20.3,3
97,8,125.77,37,81,4.5,0
98,6,146.21,26,78,17.6,7
99,2,142.42,22,45,8.4,3
100,3,93.47,4,6,24.3,6
101,5,22.77,31,35,13.4,1
102,3,124.93,18,14,29.8,1
103,3,65.56,38,72,3.7,5
104,5,101.05,24,61,23.6,1
105,6,192.36,56,15,20.5,5
106,5,91.83,23,54,23.3,1
107,3,171.16,22,27,9.9,3
108,5,53.94,2,13,15.3,6
109,3,141.04,31,31,24.1,7
110,3,195.86,55,35,7.7,2
111,6,38.34,11,60,7.6,8
112,5,21.5,28,6,17.0,1
113,6,98.04,46,69,16.2,7
114,2,36.67,32,86,9.2,7
115,4,154.71,5,58,9.6,3
116,7,184.62,38,49,9.1,0
117,6,98.12,10,23,23.4,0
118,5,66.57,40,89,19.9,1
119,4,98.19,46,34,25.1,8
120,3,150.22,24,26,29.3,1
121,3,21.63,35,47,14.8,1
122,7,126.1,44,5,2.9,5
123,7,130.39,48,90,2.4,6
124,6,134.78,23,20,9.6,6
125,6,63.56,17,6,28.0,8
126,7,148.53,1,70,16.2,5
127,8,36.45,55,59,8.9,7
128,6,55.87,31,64,12.6,5
129,3,177.94,31,18,18.4,1
130,7,152.97,42,4,19.9,0
131,5,22.47,57,17,5.5,4
132,5,64.71,55,14,29.3,8
133,7,58.59,42,78,16.8,7
134,4,68.75,53,13,4.9,3
135,9,64.56,56,7,26.9,4
136,4,31.25,34,44,3.2,4
137,5,102.61,9,15,27.3,5
138,2,151.89,22,19,29.9,2
139,6,129.21,13,63,21.3,4
140,3,141.12,25,35,23.3,1
141,6,34.61,48,81,10.8,9
142,2,191.27,18,35,28.3,0
143,3,170.93,51,19,16.4,0
144,5,164.92,12,20,22.2,9
145,3,168.14,40,35,27.8,6
146,4,187.89,17,32,29.3,1
147,5,117.97,15,48,25.2,3
148,6,56.05,42,44,9.8,4
149,3,131.02,15,24,29.0,6
150,3,153.72,15,61,19.2,1
151,4,152.83,55,17,28.0,5
152,5,113.86,39,71,20.6,0
153,4,32.32,13,50,9.9,6
154,2,86.8,17,65,11.7,8
155,6,185.74,32,99,17.0,4
156,6,125.2,9,32,23.9,4
157,8,116.9,40,36,10.2,3
158,1,68.39,20,13,17.8,2
159,6,86.32,26,70,11.0,8
160,2,181.16,27,58,24.7,4
161,5,139.96,21,14,14.5,7
162,2,161.73,18,37,3.2,8
163,6,101.78,13,79,5.8,4
164,4,133.44,16,68,2.8,9
165,3,64.71,9,40,15.5,8
166,5,146.98,12,59,4.1,1
167,6,96.97,44,80,4.3,8
168,3,99.66,38,92,28.3,3
169,4,136.88,19,16,26.3,5
170,8,188.53,7,62,14.1,5
171,4,31.52,57,4,29.6,5
172,10,168.45,35,45,1.0,1
173,4,72.63,48,90,18.8,6
174,5,99.91,18,28,18.9,5
175,10,23.94,16,96,14.3,0
176,3,74.19,55,66,12.5,1
177,4,110.47,39,31,14.2,6
178,7,30.11,4,3,13.0,0
179,5,108.4,59,8,22.2,0
180,10,186.88,25,24,4.9,0
181,4,38.97,32,15,6.7,7
182,2,157.6,40,43,6.2,3
183,3,93.74,13,31,8.6,3
184,5,137.93,45,73,16.2,1
185,8,66.84,17,45,4.2,0
186,4,48.71,49,66,26.2,9
187,3,48.88,37,8,9.6,8
188,8,32.69,6,71,5.7,6
189,6,53.42,19,57,20.6,3
190,8,139.56,13,80,2.1,5
191,3,178.7,57,99,19.0,1
192,3,166.54,26,30,21.2,6
193,5,143.32,14,74,7.2,1
194,11,39.88,31,18,2.2,9
195,7,72.05,54,69,11.5,7
196,4,75.77,4,93,3.9,7
197,3,64.99,39,39,4.4,0
198,8,112.7,8,60,8.4,7
199,8,116.4,25,98,9.6,1
200,3,84.24,13,43,16.4,5
201,3,83.68,32,45,20.7,0
202,6,169.14,59,23,18.2,4
203,2,162.07,38,69,5.3,6
204,7,75.4,38,94,6.0,9
205,5,184.48,56,6,26.5,0
206,5,191.51,28,56,17.2,1
207,6,78.81,53,4,26.2,6
208,1,83.8,30,93,11.8,5
209,10,111.01,3,23,18.8,2
210,2,189.4,28,6,16.2,9
211,5,177.74,3,32,10.3,1
212,4,38.46,45,18,14.6,9
213,5,90.69,54,15,15.6,3
214,4,119.61,34,40,6.8,2
215,5,110.56,16,96,10.1,6
216,6,54.9,22,73,24.0,7
217,1,174.59,32,74,27.6,1
218,3,141.85,38,84,11.4,9
219,2,170.82,8,6,9.9,6
220,5,174.58,55,63,6.7,7
221,4,154.7,8,67,20.7,5
222,7,99.06,57,11,10.4,5
223,7,129.9,6,43,29.6,9
224,2,48.87,14,17,10.4,0
225,6,141.26,32,96,12.4,3
226,7,52.27,35,4,18.5,0
227,2,144.91,10,63,24.2,3
228,7,61.33,3,68,14.6,1
229,5,41.16,59,81,13.3,4
230,7,49.75,12,41,29.9,9
231,6,20.36,49,83,1.3,8
232,5,149.37,59,5,27.0,9
233,6,151.83,31,32,5.3,2
234,5,112.69,29,86,23.8,7
235,4,49.05,5,70,18.9,2
236,7,35.04,52,35,10.9,5
237,1,23.44,25,22,26.3,3
238,8,49.83,41,65,1.4,7
239,4,180.35,31,84,7.6,5
240,5,63.48,21,22,17.4,7
241,3,83.77,58,11,11.2,0
242,7,38.96,20,77,18.7,5
243,2,60.03,39,3,1.7,0
244,5,113.46,22,9,4.4,0
245,10,129.4,4,60,4.7,7
246,7,64.16,13,76,6.5,6
247,7,30.39,45,87,14.3,2
248,10,90.39,42,14,22.8,5
249,1,62.16,50,97,27.3,8
250,5,59.52,49,18,25.2,6
251,3,192.78,20,73,6.7,2
252,8,130.93,52,23,13.8,5
253,7,120.24,13,74,6.8,3
254,3,94.84,17,83,8.7,2
255,1,97.21,54,47,15.6,8
256,5,117.36,36,69,3.0,9
257,3,145.36,33,47,7.3,1
258,6,146.39,1,87,28.1,0
259,3,50.9,15,30,14.5,1
260,4,110.02,13,25,13.9,6
261,5,94.15,17,28,1.4,9
262,8,176.69,24,98,8.2,0
263,7,133.66,58,25,26.1,5
264,5,115.85,8,74,5.8,6
265,4,40.77,50,78,13.0,8
266,6,129.01,27,58,1.4,7
267,8,41.1,45,94,14.9,5
