transaction_id,Electronics,Clothing,Home,Beauty,Toys
1,0,0,1,1,1
2,0,1,1,0,0
3,1,0,0,0,0
4,1,0,0,0,0
5,0,0,1,0,0
6,0,0,1,1,1
7,0,0,0,0,1
8,1,1,1,1,0
9,0,0,0,0,0
10,1,0,1,1,0
11,0,0,1,1,1
12,0,0,0,1,0
13,0,0,0,0,0
14,0,0,1,1,0
15,1,0,0,1,1
16,1,0,0,1,0
17,0,1,1,1,0
18,1,0,0,0,0
19,0,0,0,0,0
20,0,0,1,1,0
21,1,0,0,1,0
22,1,0,1,0,0
23,0,1,0,1,0
24,0,0,0,1,0
25,0,0,0,1,0
26,0,1,1,0,0
27,0,0,1,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,1
31,1,1,0,1,0
32,0,0,1,0,0
33,1,1,0,0,0
34,1,0,0,1,0
35,0,0,0,0,0
36,0,0,0,1,1
37,0,0,0,1,0
38,1,0,1,1,1
39,0,0,0,0,0
40,0,0,0,0,0
41,1,0,0,0,1
42,0,0,0,0,0
43,1,1,0,0,0
44,0,0,0,1,1
45,0,0,0,0,0
46,0,1,1,0,0
47,0,0,0,0,0
48,0,1,0,0,0
49,0,0,1,1,0
50,0,0,0,1,0
51,0,0,0,1,0
52,1,0,1,0,0
53,1,0,0,0,1
54,0,1,0,0,1
55,0,1,1,0,0
56,0,1,1,0,0
57,0,1,0,0,0
58,1,0,0,0,0
59,1,1,0,0,0
60,0,1,0,0,0
61,0,0,0,0,1
62,0,0,1,0,1
63,0,0,0,0,0
64,1,0,0,0,0
65,0,0,1,1,0
66,0,1,1,0,1
67,0,1,0,0,1
68,0,0,0,1,1
69,1,0,1,0,0
70,1,0,0,0,0
71,1,0,1,0,0
72,0,1,0,1,0
73,0,0,1,1,0
74,0,0,1,0,1
75,1,0,1,0,0
76,0,0,1,0,0
77,0,0,0,0,0
78,1,1,0,1,0
79,0,0,0,0,1
80,0,1,0,1,0
81,0,0,0,0,1
82,0,1,0,1,0
83,0,1,0,0,0
84,0,0,1,0,0
85,0,0,0,1,0
86,1,0,0,0,0
87,0,0,1,0,1
88,0,1,1,0,1
89,0,1,0,0,1
90,0,0,1,0,0
91,0,0,1,0,0
92,0,1,0,0,1
93,0,0,0,0,0
94,0,1,0,1,0
95,1,1,0,0,0
96,1,1,0,0,0
97,1,0,0,0,0
98,1,0,0,0,0
99,0,1,1,0,0
100,1,0,0,1,1
101,1,1,1,0,0
102,0,0,0,0,0
103,0,0,0,0,1
104,0,0,1,0,0
105,0,0,1,0,0
106,0,0,0,0,0
107,0,0,0,0,1
108,0,0,0,0,1
109,0,1,0,1,0
110,1,0,0,0,0
111,1,0,0,0,0
112,0,0,0,1,0
113,0,1,0,0,0
114,0,0,1,0,0
115,1,1,0,0,0
116,1,1,0,0,0
117,1,0,0,1,0
118,0,0,0,0,0
119,0,1,0,0,0
120,1,1,0,0,0
121,0,0,1,1,0
122,1,1,0,0,1
123,0,1,1,0,1
124,1,0,0,0,0
125,0,0,0,0,1
126,1,1,0,1,1
127,0,0,0,1,0
128,0,0,0,0,0
129,0,1,0,0,0
130,0,0,0,1,1
131,1,0,0,1,0
132,0,0,0,0,1
133,0,0,1,1,0
134,0,1,1,0,1
135,0,0,0,0,1
136,0,0,0,0,0
137,0,0,1,0,0
138,1,0,0,1,0
139,0,0,0,1,0
140,1,1,0,0,0
141,0,0,1,1,0
142,0,1,0,1,0
143,0,1,0,1,1
144,0,0,1,1,0
145,1,0,0,1,0
146,1,0,0,0,0
147,0,0,0,0,0
148,1,0,0,0,0
149,0,0,0,1,1
150,0,0,0,0,0
151,0,0,0,0,0
152,0,0,0,0,0
153,0,0,0,0,0
154,0,0,0,1,0
155,0,1,1,0,0
156,0,0,0,0,0
157,1,1,0,0,0
158,1,0,0,0,0
159,0,1,0,0,0
160,0,1,1,1,1
161,0,0,0,1,0
162,0,1,0,0,0
163,0,0,1,0,1
164,0,0,1,0,0
165,1,0,0,0,0
166,0,0,1,1,0
167,0,0,0,0,1
168,1,0,0,0,0
169,0,1,0,1,0
170,0,0,0,0,0
171,1,0,0,1,1
172,1,0,1,0,0
173,0,0,0,0,0
174,0,0,1,1,0
175,1,0,0,0,0
176,1,0,0,0,0
177,1,1,0,1,0
178,1,0,0,0,0
179,0,0,0,1,0
180,0,0,1,0,1
181,1,0,0,0,0
182,1,1,0,0,1
183,0,0,0,0,1
184,0,0,1,0,1
185,0,0,1,0,0
186,0,0,0,1,1
187,1,0,0,0,1
188,0,0,1,0,0
189,1,1,0,0,1
190,0,0,0,0,0
191,0,0,0,1,1
192,1,0,0,0,1
193,0,0,1,0,0
194,1,1,0,1,0
195,1,0,0,0,1
196,0,0,0,1,0
197,0,0,0,0,0
198,0,0,1,0,0
199,1,0,1,0,0
200,0,1,0,0,1
201,0,0,0,1,0
202,0,0,0,1,1
203,1,1,0,0,1
204,0,0,1,0,1
205,0,0,0,0,1
206,0,0,0,0,0
207,1,0,1,1,0
208,0,1,0,0,0
209,1,1,1,0,0
210,0,0,0,1,1
211,0,0,0,0,1
212,1,0,0,0,0
213,0,0,0,1,0
214,0,0,0,0,0
215,0,0,1,0,1
216,0,0,0,0,1
217,1,1,1,0,0
218,0,1,1,0,1
219,0,0,0,0,1
220,0,0,0,0,0
221,0,0,0,0,1
222,0,0,0,0,0
223,1,1,1,0,0
224,1,0,0,1,0
225,0,0,0,0,0
226,0,0,0,1,0
227,0,0,1,0,0
228,0,1,0,0,0
229,0,1,1,0,1
230,0,0,0,0,1
231,0,0,0,0,0
232,0,1,0,0,1
233,1,0,1,0,0
234,0,1,0,0,0
235,1,0,0,0,1
236,1,0,0,1,0
237,1,1,0,0,0
238,0,0,0,0,0
239,0,0,1,0,1
240,0,0,1,0,0
241,0,0,0,0,0
242,0,0,0,0,0
243,1,0,0,0,1
244,0,1,0,0,1
245,0,0,1,1,0
246,0,1,0,1,0
247,0,1,0,0,0
248,0,0,1,0,0
249,1,0,0,0,1
250,0,0,0,0,0
251,0,0,1,0,0
252,0,0,0,0,0
253,1,0,0,0,0
254,0,0,0,1,0
255,0,0,0,0,1
256,0,1,1,0,0
257,0,0,1,0,1
258,0,1,1,0,0
259,0,1,1,1,0
260,0,1,0,1,0
261,0,0,0,0,0
262,0,0,0,1,1
263,1,1,0,0,0
264,1,0,0,1,0
265,0,0,0,0,0
266,0,0,1,1,0
267,1,0,0,0,0
268,0,0,0,1,0
269,0,0,0,0,0
270,0,1,0,1,0
271,0,0,0,0,0
272,1,1,0,0,0
273,0,1,1,1,0
274,0,0,1,0,0
275,0,1,0,0,1
276,1,0,0,1,1
277,0,0,0,1,0
278,0,0,1,0,0
279,0,0,0,1,0
280,1,0,0,0,0
281,0,1,1,0,1
282,0,1,0,0,1
283,0,0,0,0,1
284,0,1,0,0,1
285,0,1,0,0,0
286,0,0,1,0,0
287,0,0,0,1,1
288,1,1,0,1,0
289,0,0,0,1,0
290,1,0,0,1,0
291,0,0,0,0,0
292,1,1,1,1,0
293,0,0,0,1,0
294,0,0,0,0,0
295,0,0,0,0,1
296,0,0,1,0,1
297,1,0,1,1,0
298,0,1,1,0,0
299,1,0,0,1,0
300,0,1,1,0,0
301,0,1,0,0,0
302,1,0,0,0,1
303,0,0,0,1,0
304,0,0,1,0,1
305,1,0,0,0,0
306,0,0,1,0,1
307,0,0,1,0,1
308,0,0,1,0,0
309,1,0,1,1,1
310,0,0,1,0,0
